,layer_height,wall_thickness,infill_density,nozzle_temperature,bed_temperature,print_speed,fan_speed,roughness,tension_strenght,elongation,material_pla,infill_pattern_grid
47,0.2,5.0,60.0,210.0,70.0,40.0,50.0,278.0,30.0,3.2,True,False
48,0.2,7.0,40.0,215.0,75.0,40.0,75.0,244.0,29.0,3.2,True,True
49,0.2,3.0,60.0,220.0,80.0,40.0,100.0,220.0,27.0,3.1,True,False
50,0.03,8.0,90.0,220.0,60.0,40.0,0.0,25.0,18.0,1.2,False,True
51,0.03,10.0,20.0,220.0,60.0,60.0,0.0,75.0,37.0,2.4,False,False
52,0.02,6.0,10.0,205.0,65.0,40.0,25.0,55.0,12.0,1.3,True,True
53,0.06,10.0,100.0,200.0,60.0,60.0,0.0,126.0,27.0,2.2,True,False
54,0.02,6.0,12.0,205.0,65.0,40.0,28.0,55.0,12.0,1.8,True,True
55,0.1,6.0,80.0,250.0,75.0,90.0,75.0,312.0,19.0,0.8,False,False
56,0.1,4.0,95.0,220.0,75.0,90.0,100.0,121.0,14.0,1.5,True,True
57,0.15,3.0,10.0,225.0,65.0,70.0,25.0,154.0,19.0,1.8,False,False
58,0.15,7.0,50.0,230.0,70.0,60.0,50.0,225.0,18.0,1.4,False,True
59,0.15,3.0,85.0,220.0,60.0,60.0,0.0,192.0,33.0,2.8,True,False
60,0.06,12.0,50.0,230.0,80.0,65.0,100.0,74.0,29.0,2.1,True,False
61,0.06,9.0,10.0,200.0,75.0,80.0,75.0,200.0,9.0,0.9,False,False
62,0.04,2.0,80.0,230.0,70.0,40.0,50.0,40.0,12.0,0.8,False,True
63,0.02,4.5,70.0,240.0,85.0,40.0,75.0,68.0,10.0,0.8,False,False
64,0.05,6.0,10.0,245.0,75.0,85.0,75.0,205.0,5.0,0.5,False,False
65,0.15,1.0,50.0,220.0,60.0,90.0,0.0,120.0,16.0,1.5,False,True
